"","city_eng_name","division_eng_name","date","win7_Rt_estimate","win7_Rt_estimate_std","avg_temp","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_outside_10lower","win7_gathering_outside_10over","stay_at_home","school_close","childcare_close","shop_close","restaurant_close","bar_close","entertainment_close","cultural_close","sports_indoor_close","sports_outdoor_close","gathering_outside_10lower","gathering_outside_10over","cv"
"2433","Cuyahoga,Ohio","Ohio","2020-06-07",0.787589355284749,0.0355796603371911,65.5,0,1,0.5,1,0,0,1,1,0.5,0.5,1,1,0,1,0.5,1,0,0,1,1,0.5,0.5,1,1,0.0451753951452625
"2434","Cuyahoga,Ohio","Ohio","2020-06-08",0.760853915480194,0.0352081203130415,64.5,0,1,0.5,1,0,0,1,1,0.5,0.5,1,1,0,1,0.5,1,0,0,1,1,0.5,0.5,1,1,0.0462744813382747
"2435","Cuyahoga,Ohio","Ohio","2020-06-09",0.717290027981135,0.0345106325618285,79,0,1,0.5,1,0,0,1,1,0.5,0.5,1,1,0,1,0.5,1,0,0,1,1,0.5,0.5,1,1,0.0481125224324688
"2436","Cuyahoga,Ohio","Ohio","2020-06-10",0.734147071391416,0.0353626201127082,81,0,1,0.5,1,0,0,1,1,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0481683050859088
"2437","Cuyahoga,Ohio","Ohio","2020-06-11",0.684179611396855,0.0346892833162527,69,0,1,0.5,1,0,0,0.928571428571429,0.928571428571429,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0507020126563394
"2438","Cuyahoga,Ohio","Ohio","2020-06-12",0.695674804427201,0.0356404998887835,66.5,0,1,0.5,1,0,0,0.857142857142857,0.857142857142857,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0512315519578561
"2439","Cuyahoga,Ohio","Ohio","2020-06-13",0.677535438688973,0.0359093064319745,60,0,1,0.5,1,0,0,0.785714285714286,0.785714285714286,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.052999894000318
"2440","Cuyahoga,Ohio","Ohio","2020-06-14",0.694586884765646,0.0371803835147649,57.5,0,1,0.5,1,0,0,0.714285714285714,0.714285714285714,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.053528772757219
"2441","Cuyahoga,Ohio","Ohio","2020-06-15",0.757241558357037,0.0397448743235461,60.5,0,1,0.5,1,0,0,0.642857142857143,0.642857142857143,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0524863881081478
"2442","Cuyahoga,Ohio","Ohio","2020-06-16",0.792525572502216,0.0416542193106667,63.5,0,1,0.5,1,0,0,0.571428571428571,0.571428571428571,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0525588331227637
"2443","Cuyahoga,Ohio","Ohio","2020-06-17",0.913411879478037,0.045785200412503,64.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0501254707117085
"2444","Cuyahoga,Ohio","Ohio","2020-06-18",0.943673377059008,0.0475415779175261,69.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0503792721859878
